,model,mape,mae,time
226,RF,0.09031310895580158,0.03661386310620174,20.58894909999799
221,Boosting,0.09881808678734764,0.0390650725171951,3.8077877999749035
225,Bagging,0.10020489370676317,0.04121070395506595,2.2507459999760613
222,DecisionTree,0.10333884471300066,0.03883489783220304,0.022680100053548813
223,LassoReg,0.10426298947680764,0.038376778210800704,0.010466500069014728
230,PLS,0.1115198948181341,0.04411373863582515,0.03141339996363968
228,BayesRidge,0.11156776850862347,0.044144886348354846,0.03204290010035038
229,RidgeReg,0.1116140333595744,0.044181174544677716,0.015176499960944057
227,LinearReg,0.11162222009260277,0.0441875246855664,0.03451189992483705
224,PCR,0.11276155684404013,0.043120872206238385,0.033862699987366796
220,AdaBoost,0.11441841569577689,0.045711102399876524,1.515668599982746
6,RF,0.1158700044020288,0.03771568090924387,17.371261699940078
5,Bagging,0.12517991746586382,0.04143161004697312,1.9964479999616742
1,Boosting,0.1294527879299766,0.03989373528229781,3.276339999982156
3,LassoReg,0.13278621339357632,0.03883816587255732,0.006867100019007921
2,DecisionTree,0.13302817386997187,0.03958237350182489,0.019652699935249984
0,AdaBoost,0.13927317502812525,0.04317912728488146,0.9151218000333756
8,BayesRidge,0.14092200451067396,0.04432433104689549,0.012468400062061846
9,RidgeReg,0.14096657963444473,0.04435660146004475,0.007327999919652939
7,LinearReg,0.14097646091452046,0.044362941147489426,0.016301300027407706
10,PLS,0.14107581928202007,0.04436368801779128,0.016223799902945757
4,PCR,0.14254528585444834,0.04394412896217353,0.032889500027522445
137,Bagging,0.15138640158206906,0.04219587626975239,2.0073676999891177
171,RF,0.15566061667284573,0.037454011873526004,18.020797200035304
138,RF,0.16232215032813932,0.03799775030654855,18.970597599982284
170,Bagging,0.1847740403219368,0.04184047654168148,2.3127722999779508
215,RF,0.19955384833908912,0.03678463393585634,19.4063191000605
50,RF,0.19967874153797202,0.03830765006415839,19.514234600006603
214,Bagging,0.20256202728876002,0.04101567588712943,2.1319076999789104
210,Boosting,0.22235509494195252,0.039577098008741096,4.4397070000413805
212,LassoReg,0.22500178033252094,0.038348790773245,0.010719000012613833
211,DecisionTree,0.22575626753030803,0.0387889577716501,0.028026999905705452
209,AdaBoost,0.2265182085807892,0.04620896164791377,1.5969266999745741
213,PCR,0.23414949705152766,0.043823648616240066,0.03378539998084307
219,PLS,0.23439373942427355,0.044563831591515606,0.025694799958728254
217,BayesRidge,0.2352863483198453,0.044660782806852234,0.023114999989047647
218,RidgeReg,0.23539196212326016,0.04469578479476134,0.01104690006468445
216,LinearReg,0.23540630899264178,0.0447023293652034,0.030682099983096123
49,Bagging,0.25299341757899996,0.042829131917382905,3.4062030999921262
149,RF,0.2582411362792639,0.03695932026116982,18.55906700005289
148,Bagging,0.2792518530360541,0.04111709199991661,2.248960700002499
165,AdaBoost,0.28354394167565533,0.04568777074516441,1.3360675999429077
45,Boosting,0.30899023172134016,0.040847562837726045,4.190268500009552
44,AdaBoost,0.3160710571304948,0.04788574949779139,0.8243534000357613
132,AdaBoost,0.31861851222664944,0.045127474573029104,1.0077736000530422
166,Boosting,0.32535716914557794,0.04051051562132482,3.95718480006326
104,Bagging,0.3367769915477181,0.041775011302610396,2.123079299926758
167,DecisionTree,0.33850635650735517,0.03990233201298021,0.025181900011375546
168,LassoReg,0.33851897919785146,0.039196188870342506,0.011358899995684624
193,RF,0.34097680074232634,0.039357948487588154,18.80959509999957
175,PLS,0.3438945592608603,0.04518191329221632,0.028729100013151765
173,BayesRidge,0.3457669761547884,0.04520488895115474,0.010881699970923364
172,LinearReg,0.3458667942262437,0.0452531838014688,0.017971700057387352
174,RidgeReg,0.3458749259437336,0.045241597673427274,0.010199800017289817
169,PCR,0.3462407216879127,0.04498094339604318,0.03761520003899932
47,LassoReg,0.3491150802645803,0.039255613886254224,0.013588999980129302
46,DecisionTree,0.3497365479845357,0.04092006541236086,0.03562680003233254
54,PLS,0.35517435311437,0.04530110024065924,0.03714019991457462
48,PCR,0.3566659926874478,0.04452050349022365,0.052345699979923666
52,BayesRidge,0.35733851654763227,0.045346656088127574,0.02194390003569424
53,RidgeReg,0.35753794029069613,0.04537969462131305,0.015005000052042305
51,LinearReg,0.3575701609588161,0.04538655497865127,0.036412499961443245
303,RF,0.3601386878808521,0.03834374578204501,19.355975899961777
133,Boosting,0.36035386499499383,0.039832776343755795,5.224654700024985
134,DecisionTree,0.36760292653576127,0.03973882475779127,0.02554589998908341
135,LassoReg,0.3686696661730886,0.03935607769212321,0.010083399945870042
302,Bagging,0.3723657797292145,0.042508398598831744,2.012821599957533
142,PLS,0.3726170851976054,0.04468971881537406,0.02113390003796667
140,BayesRidge,0.37381255589127416,0.04466016584435855,0.015569099923595786
139,LinearReg,0.37390999013054277,0.04470499221663589,0.020171400043182075
141,RidgeReg,0.3739152693822378,0.04469582862900746,0.007231399999000132
136,PCR,0.37555980758246926,0.044377968310202,0.048275799956172705
281,RF,0.39267267404387657,0.038537397153586554,19.553521599969827
17,RF,0.3940644873897025,0.0383513829212774,15.59177619998809
291,Bagging,0.4037124962643804,0.04244931374860302,1.9170347000472248
280,Bagging,0.4116744754802471,0.04241326509454894,1.8884018999524415
292,RF,0.4116838856647374,0.03841942343600162,18.371262699947692
182,RF,0.4116996199942801,0.03928556276900834,19.778780300053768
188,Boosting,0.4211791546248946,0.041713951798800095,4.067470200010575
72,RF,0.4225190251353155,0.03805964819481991,30.424509200034663
