,model,mse,rmse,mae,r2,mape,time
0,ArbolDecision,0.007216927045745544,0.08495249876104613,0.039895300839101436,0.044559565572775184,397854348624.08105,0.06074830002035014
1,ReforzamientoAda,0.00684909772395752,0.08275927575781171,0.044006243354182434,0.09584607789658905,385281448762.7103,0.591028599999845
2,BayesianRidge,0.006739978700932555,0.08209737328887298,0.04511065469215046,0.11070380727990248,402293662450.76984,0.01665920001687482
3,Gradiente,0.006030914217343516,0.07765896095972129,0.04005990961307964,0.1959430162833815,0.15508263228784178,2.9771051999996416
4,RandomForest,0.0050644934082042185,0.07116525422004912,0.037544177449111475,0.33216569346693625,0.3536781890350468,9.766591899999185
5,RegresionLineal,0.006546286133503038,0.08090912268405237,0.04423379578573652,0.12737572612502468,0.3735641379971057,0.023722799989627674
6,Bagging,0.005717453725540571,0.07561384612318416,0.04130594158369069,0.24405628318314476,0.41933569420781647,1.2010401000152342
7,ArbolDecision,0.007291080455503135,0.08538782381290166,0.04092325811449939,0.06954107768879025,0.3961273405030957,0.03571900000679307
8,ReforzamientoAda,0.0069782040686999615,0.08353564549759558,0.042681127906046695,0.1222299967246594,0.11626275527470178,0.4626791999908164
9,BayesianRidge,0.0063890328221246654,0.07993142574810401,0.043516299705672,0.10501593277915744,402967897946.9085,0.014337000000523403
10,Gradiente,0.006041056998432124,0.07772423687905931,0.040354086822693064,0.21894494722340851,396447413447.4974,3.2085657000134233
11,RandomForest,0.004778032338813637,0.06912331255671733,0.03679857545095876,0.3436923909657217,0.4636949905017287,11.623866899986751
12,RegresionLineal,0.006455614796186539,0.08034684061110642,0.044396608903614125,0.12242504084929784,0.552937333274785,0.023103300016373396
13,Bagging,0.005676329273369635,0.07534141804724434,0.04191445215545046,0.28389798315882575,189059394807.49734,1.2471840000071097
14,ArbolDecision,0.0068559602807348186,0.082800726329754,0.038862368484719724,0.05803489159850517,0.8750895696237833,0.03725769999437034
15,ReforzamientoAda,0.006987274350378617,0.08358991775554404,0.0446810411722813,0.10587981393679857,336250777258.6077,0.49057670001639053
