,model,mse,rmse,mae,r2,mape,time
0,Bagging,0.005548378,0.074487432,0.041352334,0.265559064,3.11E+11,1.4293325
1,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.020889
2,ReforzamientoAda,0.006619211,0.081358536,0.041650643,0.123812371,3.85E+11,0.695314
3,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0096732
4,Gradiente,0.005934744,0.07703729,0.03945368,0.214415576,3.96E+11,2.7681838
5,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0061493
6,RandomForest,0.004920202,0.070144149,0.037310664,0.34871096,2.91E+11,10.6071144
7,Bagging,0.005423704,0.073645803,0.041386639,0.282062127,3.86E+11,1.4191599
8,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0431111
9,ReforzamientoAda,0.006617136,0.081345782,0.041829226,0.124087048,3.88E+11,0.5621097
10,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.01023
11,Gradiente,0.005933336,0.077028153,0.039441049,0.21460193,3.96E+11,2.6138534
12,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0048381
13,RandomForest,0.004930603,0.070218256,0.037290637,0.347334067,2.86E+11,14.1156293
14,Bagging,0.005455238,0.073859582,0.041078268,0.277888002,3.52E+11,1.613872
15,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.029972
16,ReforzamientoAda,0.006629867,0.081423996,0.043000447,0.122401867,3.89E+11,0.4806117
17,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.009507
18,Gradiente,0.005933891,0.077031752,0.039448667,0.21452853,3.96E+11,2.7925291
19,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0045923
20,RandomForest,0.004930499,0.070217514,0.037385924,0.347347865,2.81E+11,11.3505525
21,Bagging,0.005535249,0.074399252,0.041796366,0.267296936,3.00E+11,1.6172889
22,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0283246
23,ReforzamientoAda,0.006632434,0.081439755,0.040549474,0.122062124,3.90E+11,0.5262904
24,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.006785
25,Gradiente,0.005931524,0.077016385,0.039443746,0.214841878,3.96E+11,2.8080311
26,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0075157
27,RandomForest,0.004901227,0.070008765,0.037257208,0.351222621,2.89E+11,11.1333215
28,Bagging,0.005451974,0.073837481,0.040997299,0.278320097,3.37E+11,1.3824013
29,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0288401
30,ReforzamientoAda,0.006680052,0.081731587,0.04290842,0.115758837,3.92E+11,0.5416801
31,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0074529
32,Gradiente,0.005932562,0.077023124,0.039445426,0.214704463,3.96E+11,2.8855515
33,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0048358
34,RandomForest,0.004922663,0.070161695,0.037237725,0.348385093,2.99E+11,11.4715587
35,Bagging,0.005508787,0.074221204,0.041206809,0.27079967,2.78E+11,1.6809864
36,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0233606
37,ReforzamientoAda,0.00665101,0.081553723,0.041828713,0.119603211,3.93E+11,0.4730422
38,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.006522
39,Gradiente,0.00593132,0.077015067,0.039435958,0.214868762,3.96E+11,2.8889132
40,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0048441
41,RandomForest,0.004978748,0.070560246,0.03755513,0.340961113,2.85E+11,11.0413125
42,Bagging,0.005554493,0.074528468,0.041274187,0.264749622,2.21E+11,1.4614134
43,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0255554
44,ReforzamientoAda,0.006616436,0.081341475,0.042541888,0.124179815,3.89E+11,0.5502502
45,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0071573
46,Gradiente,0.005931093,0.077013591,0.03943851,0.214898842,3.96E+11,3.0223475
47,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0048797
48,RandomForest,0.004974308,0.070528774,0.03743658,0.34154889,2.70E+11,11.0821364
49,Bagging,0.005533309,0.074386215,0.04108789,0.267553693,4.21E+11,1.6260215
50,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0240012
51,ReforzamientoAda,0.006659285,0.081604443,0.042104833,0.118507802,3.84E+11,0.7832673
52,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0086968
53,Gradiente,0.005939083,0.077065446,0.039468143,0.213841244,3.96E+11,2.7176906
54,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0046011
55,RandomForest,0.004933097,0.070236007,0.037373092,0.347004046,2.95E+11,11.2255801
56,Bagging,0.005479319,0.074022425,0.041629578,0.274700324,3.32E+11,1.3696011
57,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0253202
58,ReforzamientoAda,0.006570505,0.081058654,0.042940217,0.130259612,3.83E+11,0.5279183
59,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0061808
60,Gradiente,0.005934381,0.077034936,0.039446779,0.21446359,3.96E+11,2.7961164
61,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0042205
62,RandomForest,0.004903429,0.070024488,0.037075905,0.350931181,3.16E+11,11.0349588
63,Bagging,0.005575366,0.074668374,0.04149414,0.261986597,2.81E+11,1.4540494
64,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0434561
65,ReforzamientoAda,0.006645851,0.081522086,0.041884897,0.120286138,3.82E+11,0.6784256
66,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0097891
67,Gradiente,0.005935275,0.077040737,0.039454255,0.214345283,3.96E+11,2.8781739
