,model,mse,rmse,mae,r2,mape,time,i,train,test
0,AdaBoost,0.011839206609492541,0.10880811830691928,0.08015710539878632,-0.16328307534794706,0.20234213811495277,0.12595200003124774,0,1012,2006
1,Boosting,0.010400089504333508,0.10198082910201069,0.0651669466814394,-0.021879970638805535,0.1554677690690291,0.21310060005635023,0,1012,2006
2,DecisionTree,0.010181240301386087,0.10090213229355506,0.057715017989848655,-0.0003765386742007326,0.15466269216071377,0.00185479992069304,0,1012,2006
3,LassoReg,0.010195409687970466,0.10097232139537284,0.052898875522004944,-0.0017687778795250075,0.14410796602434847,0.001442599925212562,0,1012,2006
4,PCR,0.009026214994463605,0.09500639449249511,0.053763750226147045,0.11311260257147981,0.14004779700502915,0.004452100023627281,0,1012,2006
5,Bagging,0.010894381335089272,0.10437615309585457,0.0702902334955716,-0.07044752587852088,0.16836977450277013,3.1222319999942556,0,1012,2006
6,RF,0.010042271042815512,0.10021113232977417,0.06516766362254436,0.013278142067597143,0.16364158253924424,0.48350259999278933,0,1012,2006
7,LinearReg,0.00883590162527515,0.09399947672873052,0.054558375139631105,0.13181219357379137,0.13967179704445834,0.003605599980801344,0,1012,2006
8,BayesRidge,0.008862078303390572,0.0941386121811373,0.054027701373321246,0.12924015579922588,0.13862501937332625,0.0028312000213190913,0,1012,2006
9,RidgeReg,0.00882737636901974,0.09395411842500434,0.05436785136320765,0.13264985834661258,0.13887087912634288,0.001564200036227703,0,1012,2006
10,PLS,0.009269794548508086,0.09627977227075314,0.05520311176167995,0.08917924436033431,0.14192692687375444,0.0019489000551402569,0,1012,2006
11,XGBoost,0.011673632949888851,0.10804458778619525,0.06836945149495889,-0.14701433012764142,0.16712391366077786,0.13800899998750538,0,1012,2006
12,AdaBoost,0.00964667367111722,0.09821748149447337,0.07744027135986917,-0.17812995823357203,0.173758004164108,0.15829000005032867,1,2007,3001
13,Boosting,0.013751486464180318,0.11726673212885365,0.08881481165084998,-0.6794429588927913,0.1794037332593446,0.4114763999823481,1,2007,3001
14,DecisionTree,0.0075955770497398555,0.08715260781950163,0.05038829036233225,0.07236658174075827,0.11459587538911982,0.0027902000583708286,1,2007,3001
15,LassoReg,0.008188726824296513,0.09049158427332629,0.04350112044736696,-7.367517567113957e-05,0.10513469479722462,0.00180460000410676,1,2007,3001
16,PCR,0.007166633764459294,0.0846559729993064,0.051327580294738086,0.12475261157871309,0.11655229555811114,0.008135900017805398,1,2007,3001
17,Bagging,0.011219944659405524,0.10592424018800194,0.0777573160779445,-0.37027055994914004,0.1625142406387782,0.10006259998772293,1,2007,3001
18,RF,0.009289707649008373,0.09638312948337158,0.0666273607696193,-0.134534375024713,0.1417320457752165,0.7631576000712812,1,2007,3001
19,LinearReg,0.007999876841324837,0.0894420306194176,0.061819663714743525,0.022990215045574636,0.13955746310708006,0.00946760002989322,1,2007,3001
20,BayesRidge,0.00783789850800285,0.08853190672295977,0.06040035959449827,0.04277232166360412,0.1364365632310027,0.006589700002223253,1,2007,3001
21,RidgeReg,0.007889467863980823,0.08882267651889816,0.06082441919378687,0.036474254031610975,0.13724416963419483,0.002915400080382824,1,2007,3001
22,PLS,0.008144752025296794,0.0902482799021499,0.06088068942759816,0.005296883617458281,0.13586274552807506,0.00913999998010695,1,2007,3001
23,XGBoost,0.017103131412576886,0.1307789410133638,0.0985270406183225,-1.0887729992455402,0.19458268846565363,0.14313370001036674,1,2007,3001
24,AdaBoost,0.009422830753347367,0.09707126636315902,0.06542783514203068,-0.1717002609587186,0.24947779321577077,0.18458720005583018,2,3002,3996
25,Boosting,0.008475175740131877,0.09206071768203786,0.05635716588779986,-0.05386225077383,0.21667336006596483,0.5463399000000209,2,3002,3996
26,DecisionTree,0.007949319470471623,0.08915895619886778,0.04572926475007517,0.011526372296664755,0.20316746165630126,0.0033952000085264444,2,3002,3996
27,LassoReg,0.008043724500496244,0.08968681341477265,0.03829921954135923,-0.00021260521562549428,0.18421089462391776,0.001903400057926774,2,3002,3996
28,PCR,0.00793579889928985,0.08908310108707403,0.04816306018796782,0.013207614080230412,0.2102346041837701,0.008130300091579556,2,3002,3996
29,Bagging,0.011270806401520308,0.10616405418747114,0.06906997854500746,-0.4014903957799769,0.2538616551336149,0.1435226999456063,2,3002,3996
30,RF,0.009856830021270444,0.09928156939367168,0.06494548956328917,-0.22566674606201054,0.23372334273752532,1.0965538999298587,2,3002,3996
31,LinearReg,0.007539186094762952,0.08682848665480097,0.04971043874766431,0.06252520650314985,0.2117712754681392,0.0040846000192686915,2,3002,3996
32,BayesRidge,0.0075430448625528924,0.08685070444477058,0.049372069613275504,0.06204538049918096,0.2110601273485083,0.003249899949878454,2,3002,3996
33,RidgeReg,0.0075366897339913174,0.08681411022403741,0.049582276007551065,0.062835621350252,0.21140999608877753,0.0015234999591484666,2,3002,3996
34,PLS,0.007548352998184029,0.08688125803753091,0.051561595570013996,0.061385330025283125,0.21448151954752853,0.003748200018890202,2,3002,3996
35,XGBoost,0.010082115881576887,0.10040973997365438,0.06518127951833336,-0.25368035558350144,0.2367610700846933,0.15839530003722757,2,3002,3996
36,AdaBoost,0.0068193279824152265,0.08257922246191972,0.05130466992484471,-0.030309048700364105,0.12780464502020317,0.18281030002981424,3,3997,4991
37,Boosting,0.012573751967222841,0.11213274261883922,0.07699277258817439,-0.899725377830475,0.16527525308566526,0.7622194999130443,3,3997,4991
38,DecisionTree,0.006292248741847085,0.07932369596688675,0.0386580415812918,0.049325559334302715,0.10459210647202398,0.007329999934881926,3,3997,4991
39,LassoReg,0.006620205876537475,0.08136464758442376,0.02997588389664971,-0.00022436762751465444,0.08989448598352959,0.0020806000102311373,3,3997,4991
40,PCR,0.008486970890961565,0.09212475720978354,0.05955400056178658,-0.2822675383208839,0.15315171114636722,0.00806719996035099,3,3997,4991
41,Bagging,0.01109824592046059,0.10534821270653143,0.07445164911639814,-0.6767961925337111,0.1665875005017144,0.26945780008099973,3,3997,4991
42,RF,0.00863896366458008,0.0929460255448294,0.06545496091657443,-0.3052316090328424,0.15188743510619593,2.5232459000544623,3,3997,4991
43,LinearReg,0.1310053857593461,0.36194666148390714,0.2832796015155671,-18.793157731142173,0.6345322847634819,0.004964599967934191,3,3997,4991
44,BayesRidge,0.006737208635151363,0.08208050094359416,0.047541604359281536,-0.017901916094702264,0.12412788286709134,0.0036727000260725617,3,3997,4991
45,RidgeReg,0.0072959323026588205,0.08541622973802356,0.052632069240586096,-0.10231757286328969,0.1356889370552851,0.0015138000017032027,3,3997,4991
46,PLS,0.006391354459308949,0.07994594710996267,0.046495247621420335,0.03435201388492626,0.1197622143669125,0.006217899965122342,3,3997,4991
47,XGBoost,0.025756544213659707,0.1604884550790483,0.11106641810846814,-2.891468577991144,0.2631347335210024,0.19524389994330704,3,3997,4991
48,AdaBoost,0.011643933461471224,0.10790705936810263,0.06089388402300382,0.02643617039156332,2228244158415.429,0.18681810004636645,4,4992,5986
49,Boosting,0.011922874610623262,0.10919191641611234,0.06855321051437874,0.0031135522829639495,2406925083255.178,0.8248029999667779,4,4992,5986
50,DecisionTree,0.011797702764677268,0.10861723051467141,0.052884582694339884,0.013579326765579602,2301080077743.601,0.004751999978907406,4,4992,5986
51,LassoReg,0.011975450149954617,0.1094323999095086,0.04648676760886289,-0.0012823542708249036,2262157331507.794,0.001868500025011599,4,4992,5986
