,model,mse,rmse,mae,r2,mape,time
0,AdaBoost,0.007505595731432128,0.08663484132513967,0.05139671903211824,-0.1018774050381488,0.12888738651887807,0.3797579000238329
1,Bagging,0.009736648847106183,0.09867445894002248,0.06529305057235349,-0.42941263416141173,0.1550565200358318,0.6770475000375882
2,BayesRidge,0.007154652759288174,0.0845851804945061,0.04857475435664088,-0.05035636056689663,0.1216533216908637,0.010301199974492192
3,Boosting,0.007791539735474211,0.08826969885229138,0.05219519642869257,-0.14385611644684215,0.12964002237140668,2.4697734999936074
4,DecisionTree,0.007307585206542828,0.08548441499210735,0.047487130481640945,-0.07280798388326981,0.1203417708962331,0.01649780001025647
5,LassoReg,0.006811647810315287,0.08253270751838501,0.03686945118234453,-6.770724205740208e-07,0.0995919398747529,0.003244900028221309
6,LinearReg,0.007160836818458405,0.08462172781536906,0.04867838834310493,-0.051264226553144665,0.12186463975617332,0.0023602000437676907
7,PLS,0.007161896950846296,0.08462799153262646,0.04868795915709793,-0.05141986189061365,0.12186522463556733,0.01725319999968633
8,PCR,0.00716191528816986,0.0846280998733273,0.04868812692860717,-0.05142255394641149,0.12186524771842917,0.009247299982234836
9,RidgeReg,0.007160794552418121,0.08462147807984756,0.04867556192574652,-0.05125802158335202,0.1218539052553208,0.0021858999971300364
10,RF,0.008410277797393348,0.09170756674011882,0.05887432518576694,-0.23469147641842225,0.1419740802153948,9.18994539999403
11,XGBoost,0.010614051222352315,0.10302451757883807,0.06959461861826766,-0.5582218435838922,0.1667326847190701,0.6875714000198059
12,AdaBoost,0.0074845769152943305,0.08651344933184857,0.0526974334097875,-0.09879168614099343,0.13147760090077018,0.4228552000131458
13,Bagging,0.009550727611081115,0.09772782413970504,0.06727428795135566,-0.4021180107333391,0.158775608734638,0.9096216000034474
14,BayesRidge,0.007154652759288174,0.0845851804945061,0.04857475435664088,-0.05035636056689663,0.1216533216908637,0.009684199991170317
