,model,mse,rmse,mae,r2,mape,time
0,Ada Boost,13095838.804914894,3618.8173212964057,2233.9554619845885,0.914653838965612,5.316639487891128e+17,1.0559170000487939
1,Bagging,11118129.118767254,3334.385868307274,1723.2045880603448,0.9275426605117262,7928635480033483.0,5.836740100057796
2,Boosting,9020801.203235416,3003.4648663227968,1520.8891338051455,0.9412110393523179,1.919061280902391e+17,7.149380600079894
3,Random Forest,9806545.665965267,3131.54046213126,1604.948866614942,0.9360903079164015,6143720798493849.0,21.02629840001464
4,XGBoost,12066918.881912872,3473.747095272319,2216.8788039252195,0.9213593556375997,1.2428184274282831e+18,0.5947378999553621
5,LGBM,8922181.401458984,2987.0020759046997,1665.8323687053942,0.9418537489648118,4.763944771219051e+17,0.3435687000164762
6,Ada Boost,15791005.875159973,3973.7898629847014,2481.852897621137,0.8871640533041603,8.087132639089152e+17,1.870629100012593
7,Bagging,14038342.55521386,3746.7776228665957,1877.0327913020835,0.8996878549231746,6187167726977696.0,2.217587999999523
8,Boosting,11161664.649523502,3340.907758308137,1716.460773405921,0.9202433963113377,1.585540281069819e+17,6.963226399966516
9,Random Forest,13363664.576051647,3655.6346338292133,1819.4978959635412,0.9045088225737127,7883106006764513.0,20.206685699988157
10,XGBoost,14191920.258026058,3767.216513292813,2081.1546540777485,0.8985904526661438,8.234095601824127e+17,0.5333937000250444
11,LGBM,11717355.452877374,3423.0622917027636,1746.845747934757,0.9162726614283091,1.2122507459762437e+17,0.2693368000909686
12,Ada Boost,18232224.761777267,4269.920931560357,3076.2643423050285,0.8678888186618923,2.308069384488162e+18,2.2234733999939635
13,Bagging,14871343.97574177,3856.338156300841,1974.0918227314817,0.8922418494511208,3899033285892539.5,1.5247366999974474
14,Boosting,17139819.45972695,4140.026504713098,2530.336996623733,0.8758044162831127,3.76220317580448e+17,5.169619100051932
15,Random Forest,14457572.82421654,3802.3115106756495,2019.6826347962967,0.8952400461246407,2647557092040144.0,15.08488139999099
16,XGBoost,16083866.626277003,4010.4696266493534,2326.5051510678113,0.8834558783557421,5.58088349847194e+17,0.827008799999021
17,LGBM,13206085.722293604,3634.0178483730106,2052.585316070492,0.9043083546621188,6.47087265891507e+17,0.24230220005847514
18,Ada Boost,17760135.43613557,4214.277569896834,3004.005342679967,0.8844802127930277,1.576067680812471e+18,3.079150000005029
